"","state","householdincome","unemployed","metropop","highschoolpop","noncitizen","whitepoverty","giniindex","nonwhite","trumpvoter","incidents2016","pop2016","incidents201015","pop201015","hrate2016","hrate201015"
"North Carolina","North Carolina",46784,0.058,0.76,0.843,0.05,0.1,0.464,0.38,0.51,148,10145637,124,9795242.5,1.45875512794317,1.26592067526659
"North Dakota","North Dakota",60730,0.028,0.5,0.901,0.03,0.09,0.433,0.15,0.64,8,757493,34,705473.666666667,1.05611537004302,4.81945699839493
"Ohio","Ohio",49644,0.045,0.75,0.876,0.03,0.1,0.452,0.21,0.52,442,9573452,320,9876370,4.61693441404417,3.24005682249652
"Oklahoma","Oklahoma",47199,0.044,0.59,0.856,0.04,0.1,0.454,0.35,0.65,33,3869095,35,3415550.5,0.852912632023768,1.02472500406596
"Oregon","Oregon",58875,0.062,0.87,0.891,0.07,0.1,0.449,0.26,0.41,104,3547910,78,2206397,2.93130321795085,3.53517522005333
"Pennsylvania","Pennsylvania",55173,0.053,0.87,0.879,0.03,0.09,0.461,0.24,0.49,61,12644372,54,12609375.8333333,0.482428071556262,0.428252759801552
"Rhode Island","Rhode Island",58633,0.054,1,0.847,0.08,0.08,0.467,0.28,0.4,12,1056426,14,1052509,1.13590540179814,1.3301548965377
"South Carolina","South Carolina",44929,0.057,0.79,0.836,0.03,0.09,0.461,0.36,0.55,23,4936962,91,4732864.16666667,0.465873547335386,1.92272579130643
"South Dakota","South Dakota",53053,0.035,0.51,0.899,NA,0.08,0.442,0.17,0.62,18,787337,25,756266.666666667,2.28618749023607,3.30571227080395
"Tennessee","Tennessee",43716,0.057,0.82,0.831,0.04,0.13,0.468,0.27,0.61,142,6651194,203,6470305.66666667,2.13495501709919,3.13740973700521
"Texas","Texas",53875,0.042,0.92,0.799,0.11,0.08,0.469,0.56,0.53,178,27862596,141,22469264.8333333,0.638849301766425,0.627523868919936
"Utah","Utah",63383,0.036,0.82,0.904,0.04,0.08,0.419,0.19,0.47,66,3014190,68,2845072.33333333,2.18964298866362,2.39009740467055
"Vermont","Vermont",60708,0.037,0.35,0.91,0.01,0.1,0.444,0.06,0.33,25,624594,12,622174.5,4.00260008901783,1.92871935445763
"Virginia","Virginia",66155,0.043,0.89,0.866,0.06,0.07,0.459,0.38,0.45,122,8411424,141,8206294.5,1.45040839696109,1.71819327224973
"Washington","Washington",59068,0.052,0.86,0.897,0.08,0.09,0.441,0.31,0.38,387,7282106,265,6935503.5,5.3143966868925,3.8209194184676
"West Virginia","West Virginia",39552,0.073,0.55,0.828,0.01,0.14,0.451,0.07,0.69,41,1621366,34,1658308.66666667,2.52873194577905,2.05028175293462
"Wisconsin","Wisconsin",58080,0.043,0.69,0.898,0.03,0.09,0.43,0.22,0.48,34,5652781,64,5652975.66666667,0.601473858619324,1.13214709869321
"Wyoming","Wyoming",55690,0.04,0.31,0.918,0.02,0.09,0.423,0.15,0.7,3,556446,2,566236.833333333,0.539135873022719,0.353209095958375
